Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ATALANTA,26,159-D,Box 16,atalanta-1942-12,12/01/1942,12/31/1942,Box 16,1,43,85,https://catalog.archives.gov/id/23713821,Arctic
ATALANTA,26,159-E,Box 25,atalanta-1943-01,01/01/1943,01/31/1943,Box 25,1,39,77,https://catalog.archives.gov/id/23713866,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-02,02/01/1943,02/28/1943,Box 26,1,38,75,https://catalog.archives.gov/id/23713907,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-03,03/01/1943,03/31/1943,Box 26,1,36,71,https://catalog.archives.gov/id/23713947,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-04,04/01/1943,04/30/1943,Box 26,1,35,69,https://catalog.archives.gov/id/23713985,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-05,05/01/1943,05/31/1943,Box 26,1,36,71,https://catalog.archives.gov/id/23714022,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-06,06/01/1943,06/30/1943,Box 26,1,35,69,https://catalog.archives.gov/id/23714060,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-07,07/01/1943,07/31/1943,Box 26,1,36,71,https://catalog.archives.gov/id/23714097,Arctic
ATALANTA,26,159-E,Box 26,atalanta-1943-08,08/01/1943,08/01/1943,Box 26,1,36,71,https://catalog.archives.gov/id/23714135,Arctic
ATALANTA,26,159-E,Box 27,atalanta-1943-09,09/01/1943,09/30/1943,Box 27,1,35,69,https://catalog.archives.gov/id/23714173,Arctic
ATALANTA,26,159-E,Box 27,atalanta-1943-10,10/01/1943,10/31/1943,Box 27,1,36,71,https://catalog.archives.gov/id/23714210,Arctic
